#======================================================================#
# material, density, radius, mass, temperature, pressure, height, time #
#           (kg/m^3)   (m)   (kg)      (K)        (Pa)     (m)     (s) #
#======================================================================#
iron,7874,0.005,4.1228e-03,289.6, 99939, 977, 23.8
iron,7874,0.005,4.1228e-03,280.8, 99509, 658, 17.8
iron,7874,0.005,4.1228e-03,277.9,101066, 877, 24.5
iron,7874,0.005,4.1228e-03,306.8,100383, 886, 22.7
iron,7874,0.005,4.1228e-03,311.3,103251, 636, 17.2
iron,7874,0.005,4.1228e-03,309.5,101216, 521, 14.9
iron,7874,0.005,4.1228e-03,315.7,102042, 819, 20.9
iron,7874,0.005,4.1228e-03,301.9, 99912, 867, 22.7
iron,7874,0.005,4.1228e-03,295.8, 96213, 495, 14.9
iron,7874,0.005,4.1228e-03,298.4,100831, 749, 20.4
iron,7874,0.005,4.1228e-03,304.8, 94709, 706, 18.5
iron,7874,0.005,4.1228e-03,284.0, 99892, 691, 17.9
iron,7874,0.005,4.1228e-03,298.8, 99913, 852, 22.4
iron,7874,0.005,4.1228e-03,314.2,101027, 985, 25.3
iron,7874,0.005,4.1228e-03,292.4, 96536, 682, 19.3
iron,7874,0.005,4.1228e-03,296.1,103163, 853, 24.7
iron,7874,0.005,4.1228e-03,304.0, 96275, 890, 23.3
iron,7874,0.005,4.1228e-03,300.4,104503, 572, 16.4
iron,7874,0.005,4.1228e-03,287.7,100619, 928, 25.2
iron,7874,0.005,4.1228e-03,281.1, 98569, 631, 19.3
iron,7874,0.005,4.1228e-03,275.3,100551, 747, 20.6
iron,7874,0.005,4.1228e-03,298.4,102804, 950, 25.0
iron,7874,0.005,4.1228e-03,302.7, 99671, 882, 21.4
iron,7874,0.005,4.1228e-03,274.7,104541, 922, 26.4
iron,7874,0.005,4.1228e-03,287.6,102230, 682, 20.5
iron,7874,0.005,4.1228e-03,310.5, 95472, 573, 17.6
iron,7874,0.005,4.1228e-03,299.8,104270, 839, 23.2
iron,7874,0.005,4.1228e-03,300.4, 98859, 712, 20.4
iron,7874,0.005,4.1228e-03,273.4,100573, 523, 16.3
iron,7874,0.005,4.1228e-03,302.2,103475, 529, 15.2
iron,7874,0.005,4.1228e-03,289.6, 98633, 869, 22.3
iron,7874,0.005,4.1228e-03,294.7,101465, 832, 22.5
iron,7874,0.005,4.1228e-03,298.7,101166, 845, 22.0
iron,7874,0.005,4.1228e-03,283.9, 98562, 648, 18.4
iron,7874,0.005,4.1228e-03,303.6, 96910, 545, 15.7
iron,7874,0.005,4.1228e-03,291.6,102238, 870, 23.6
iron,7874,0.005,4.1228e-03,290.4,105893, 892, 25.4
iron,7874,0.005,4.1228e-03,288.7, 98775, 939, 25.3
iron,7874,0.005,4.1228e-03,298.8,100863, 532, 15.9
iron,7874,0.005,4.1228e-03,295.5, 95952, 738, 19.0
iron,7874,0.005,4.1228e-03,276.8,102348, 855, 23.9
iron,7874,0.005,4.1228e-03,287.6, 99646, 763, 21.6
iron,7874,0.005,4.1228e-03,282.2,100875, 573, 17.7
iron,7874,0.005,4.1228e-03,294.5,101714, 952, 26.2
iron,7874,0.005,4.1228e-03,305.2,104654, 659, 19.2
iron,7874,0.005,4.1228e-03,300.1,103314, 985, 25.7
iron,7874,0.005,4.1228e-03,305.3, 99552, 965, 25.9
iron,7874,0.005,4.1228e-03,296.4,102902, 982, 27.8
iron,7874,0.005,4.1228e-03,302.3,104783, 746, 19.8
iron,7874,0.005,4.1228e-03,285.7, 97782, 573, 18.7
iron,7874,0.005,4.1228e-03,275.1, 97056, 979, 26.0
iron,7874,0.005,4.1228e-03,290.8,104799, 606, 16.6
iron,7874,0.005,4.1228e-03,305.8,105180, 629, 18.4
iron,7874,0.005,4.1228e-03,289.1,100168, 501, 16.3
iron,7874,0.005,4.1228e-03,294.6,100353, 866, 23.0
iron,7874,0.005,4.1228e-03,294.0, 96732, 631, 17.8
iron,7874,0.005,4.1228e-03,285.0, 97093, 894, 24.6
iron,7874,0.005,4.1228e-03,295.1, 98532, 803, 21.0
iron,7874,0.005,4.1228e-03,297.1,102861, 633, 17.8
iron,7874,0.005,4.1228e-03,300.6, 99741, 567, 13.9
iron,7874,0.005,4.1228e-03,285.5, 95898, 823, 23.0
iron,7874,0.005,4.1228e-03,304.8,101573, 964, 23.2
iron,7874,0.005,4.1228e-03,279.6, 99151, 967, 25.8
iron,7874,0.005,4.1228e-03,293.6, 96744, 600, 17.5
iron,7874,0.005,4.1228e-03,290.2,102449, 529, 13.2
iron,7874,0.005,4.1228e-03,291.6,100395, 921, 23.6
iron,7874,0.005,4.1228e-03,287.9, 97437, 813, 21.8
iron,7874,0.005,4.1228e-03,291.1, 97811, 698, 18.4
iron,7874,0.005,4.1228e-03,303.0, 98729, 536, 14.2
iron,7874,0.005,4.1228e-03,300.0, 98463, 516, 14.6
iron,7874,0.005,4.1228e-03,298.2, 96393, 766, 20.0
iron,7874,0.005,4.1228e-03,295.0,100185, 797, 20.7
iron,7874,0.005,4.1228e-03,285.3, 93452, 843, 20.3
iron,7874,0.005,4.1228e-03,308.6,101002, 979, 25.7
iron,7874,0.005,4.1228e-03,295.3, 93744, 704, 18.5
iron,7874,0.005,4.1228e-03,280.8,102048, 633, 20.7
iron,7874,0.005,4.1228e-03,297.8, 99559, 562, 14.0
iron,7874,0.005,4.1228e-03,292.5,102271, 989, 25.9
iron,7874,0.005,4.1228e-03,287.1,104637,1010, 25.3
iron,7874,0.005,4.1228e-03,331.3,100009, 666, 16.9
iron,7874,0.005,4.1228e-03,293.2, 98914, 687, 20.7
iron,7874,0.005,4.1228e-03,316.3,101894, 800, 22.7
iron,7874,0.005,4.1228e-03,301.8,103664, 610, 17.9
iron,7874,0.005,4.1228e-03,281.1, 98610, 631, 14.5
iron,7874,0.005,4.1228e-03,309.9, 98579, 702, 19.0
iron,7874,0.005,4.1228e-03,299.6, 97812, 874, 22.1
iron,7874,0.005,4.1228e-03,310.2, 96490, 860, 23.5
iron,7874,0.005,4.1228e-03,278.4, 99177, 774, 20.7
iron,7874,0.005,4.1228e-03,300.0, 99756, 736, 20.7
iron,7874,0.005,4.1228e-03,310.1,100957, 518, 13.0
iron,7874,0.005,4.1228e-03,289.2,100439, 607, 18.1
iron,7874,0.005,4.1228e-03,285.8,101753, 553, 16.8
iron,7874,0.005,4.1228e-03,277.8, 99445, 770, 20.4
iron,7874,0.005,4.1228e-03,294.2,104590, 634, 17.8
iron,7874,0.005,4.1228e-03,290.0, 99495, 610, 16.0
iron,7874,0.005,4.1228e-03,298.1, 99109, 537, 16.6
iron,7874,0.005,4.1228e-03,300.9, 98240, 669, 17.9
iron,7874,0.005,4.1228e-03,293.0,104606, 937, 25.3
iron,7874,0.005,4.1228e-03,280.8, 99396, 875, 23.9
iron,7874,0.005,4.1228e-03,286.2, 98298, 753, 20.4
iron,7874,0.005,4.1228e-03,305.0, 93725, 541, 17.3
iron,7874,0.005,4.1228e-03,285.2,103362, 638, 20.0
iron,7874,0.005,4.1228e-03,292.3, 97722, 797, 21.7
iron,7874,0.005,4.1228e-03,274.6, 97013, 756, 20.5
iron,7874,0.005,4.1228e-03,286.6, 98486, 670, 19.0
iron,7874,0.005,4.1228e-03,292.0,102163, 908, 24.7
iron,7874,0.005,4.1228e-03,297.3, 99486, 601, 17.7
iron,7874,0.005,4.1228e-03,296.6, 97334, 824, 23.3
iron,7874,0.005,4.1228e-03,298.0,101162, 604, 16.2
iron,7874,0.005,4.1228e-03,292.3,101337, 798, 20.7
iron,7874,0.005,4.1228e-03,296.4, 98762, 606, 16.8
iron,7874,0.005,4.1228e-03,308.0,101976, 762, 21.6
iron,7874,0.005,4.1228e-03,274.3,103730, 730, 19.9
iron,7874,0.005,4.1228e-03,294.9, 98199, 692, 18.7
iron,7874,0.005,4.1228e-03,293.9,104102, 823, 22.9
iron,7874,0.005,4.1228e-03,297.7,101927, 614, 15.9
iron,7874,0.005,4.1228e-03,299.4, 97824, 804, 20.4
iron,7874,0.005,4.1228e-03,297.3, 99744, 863, 21.9
iron,7874,0.005,4.1228e-03,280.8, 97487, 990, 25.6
iron,7874,0.005,4.1228e-03,284.5, 99546, 940, 25.3
iron,7874,0.005,4.1228e-03,288.7,100423, 836, 22.8
iron,7874,0.005,4.1228e-03,287.4, 94244, 715, 20.2
iron,7874,0.005,4.1228e-03,289.4, 94589, 756, 19.5
iron,7874,0.005,4.1228e-03,293.4,102929, 805, 22.7
iron,7874,0.005,4.1228e-03,280.0,101273, 825, 22.3
iron,7874,0.005,4.1228e-03,290.9,102024, 574, 18.3
iron,7874,0.005,4.1228e-03,291.4,101883, 585, 16.8
iron,7874,0.005,4.1228e-03,278.0, 99903, 522, 14.6
iron,7874,0.005,4.1228e-03,291.0, 97636, 702, 19.2
iron,7874,0.005,4.1228e-03,298.5,100620, 781, 21.4
iron,7874,0.005,4.1228e-03,284.6,105058, 568, 17.1
iron,7874,0.005,4.1228e-03,276.0, 96167, 975, 25.3
iron,7874,0.005,4.1228e-03,280.8,105402, 922, 25.8
iron,7874,0.005,4.1228e-03,290.2,101593, 961, 27.2
iron,7874,0.005,4.1228e-03,289.7, 99022, 768, 22.3
iron,7874,0.005,4.1228e-03,291.3, 99780, 897, 22.7
iron,7874,0.005,4.1228e-03,300.2, 98872, 920, 25.4
iron,7874,0.005,4.1228e-03,296.7,102222, 929, 24.6
iron,7874,0.005,4.1228e-03,299.4,100588, 608, 14.9
iron,7874,0.005,4.1228e-03,296.3,103834, 624, 17.6
iron,7874,0.005,4.1228e-03,309.2, 97959, 608, 17.3
iron,7874,0.005,4.1228e-03,287.0, 95160, 799, 20.4
iron,7874,0.005,4.1228e-03,294.2, 97286, 664, 18.9
iron,7874,0.005,4.1228e-03,292.7, 98113, 911, 25.3
